<io.bootique.run.DefaultRunnerTest: void testRun()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun()>	69	<io.bootique.run.DefaultRunnerTest: void testRun()>/$stack6
<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>	89	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/$stack6
<io.bootique.run.DefaultRunnerTest: void testRun_NoMatch()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_NoMatch()>	109	<io.bootique.run.DefaultRunnerTest: void testRun_NoMatch()>/$stack5
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>	123	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/$stack6
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>	143	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/$stack5
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>	161	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/$stack4
<io.bootique.run.DefaultRunnerTest: void testRun_Failure()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunnerTest: void testRun_Failure()>	176	<io.bootique.run.DefaultRunnerTest: void testRun_Failure()>/$stack4
<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>/io.bootique.BQModuleMetadata.getModule/0	<io.bootique.BQModuleMetadata: io.bootique.di.BQModule getModule()>	<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>	67	<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>/bqModuleMock#_66
<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>/io.bootique.BQModuleMetadata.getOverrides/0	<io.bootique.BQModuleMetadata: java.util.Collection getOverrides()>	<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>	68	<io.bootique.RuntimeModuleMergerTest: io.bootique.BQModuleMetadata createBQModule(io.bootique.di.BQModule,java.lang.Class[])>/bqModuleMock#_66
<io.bootique.jopt.JoptCliFactoryTest: io.bootique.command.Command addMockCommand(io.bootique.meta.application.CommandMetadata$Builder)>/io.bootique.command.Command.getMetadata/0	<io.bootique.command.Command: io.bootique.meta.application.CommandMetadata getMetadata()>	<io.bootique.jopt.JoptCliFactoryTest: io.bootique.command.Command addMockCommand(io.bootique.meta.application.CommandMetadata$Builder)>	122	<io.bootique.jopt.JoptCliFactoryTest: io.bootique.command.Command addMockCommand(io.bootique.meta.application.CommandMetadata$Builder)>/mock#_121
