Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.ibatis.submitted.enumtypehandler_on_annotation.EnumTypeHandlerUsingAnnotationTest::testForTypeDiscriminator()V	789	2
org.apache.ibatis.submitted.ognl_enum.EnumWithOgnlTest::testEnumWithOgnl()V	818	1
org.apache.ibatis.submitted.ognl_enum.EnumWithOgnlTest::testEnumWithOgnlDirector()V	818	1
org.apache.ibatis.submitted.ognl_enum.EnumWithOgnlTest::testEnumWithOgnlDirectorNameAttribute()V	818	1
org.apache.ibatis.submitted.ognl_enum.EnumWithOgnlTest::testEnumWithOgnlDirectorWithInterface()V	818	1
org.apache.ibatis.submitted.ognl_enum.EnumWithOgnlTest::testEnumWithOgnlDirectorNameAttributeWithInterface()V	818	1
org.apache.ibatis.submitted.parametrizedlist.ParametrizedListTest::setUp()V	1926	4
org.apache.ibatis.submitted.parametrizedlist.ParametrizedListTest::testShouldDetectUsersAsParameterInsideAList()V	819	2
org.apache.ibatis.submitted.parametrizedlist.ParametrizedListTest::testShouldDetectUsersAsParameterInsideAMap()V	819	2
org.apache.ibatis.submitted.parametrizedlist.ParametrizedListTest::testShouldGetAUserAsAMap()V	819	1
org.apache.ibatis.submitted.parametrizedlist.ParametrizedListTest::testShouldGetAListOfMaps()V	819	2
org.apache.ibatis.submitted.language.LanguageTest::setUp()V	1926	4
org.apache.ibatis.submitted.language.LanguageTest::testDynamicSelectWithPropertyParams()V	827	12
org.apache.ibatis.submitted.language.LanguageTest::testDynamicSelectWithExpressionParams()V	827	12
org.apache.ibatis.submitted.language.LanguageTest::testDynamicSelectWithIteration()V	819	3
org.apache.ibatis.submitted.language.LanguageTest::testLangRaw()V	823	4
org.apache.ibatis.submitted.language.LanguageTest::testLangRawWithInclude()V	823	4
org.apache.ibatis.submitted.language.LanguageTest::testLangRawWithIncludeAndCData()V	823	4
org.apache.ibatis.submitted.language.LanguageTest::testLangXmlTags()V	823	4
org.apache.ibatis.submitted.language.LanguageTest::testLangRawWithMapper()V	824	4
org.apache.ibatis.submitted.language.LanguageTest::testLangVelocityWithMapper()V	824	4
org.apache.ibatis.submitted.language.LanguageTest::testLangXmlWithMapper()V	824	4
org.apache.ibatis.submitted.language.LanguageTest::testLangXmlWithMapperAndSqlSymbols()V	824	4
org.apache.ibatis.submitted.localtime.LocalTimeTest::setUp()V	1926	4
org.apache.ibatis.submitted.annotion_many_one_add_resultmapid.OneManyResultMapTest::setUp()V	1926	4
org.apache.ibatis.submitted.xml_external_ref.ResultMapReferenceTest::testCrossReferenceXmlConfig()V	2017	0
org.apache.ibatis.submitted.xml_external_ref.ResultMapReferenceTest::testCrossReferenceJavaConfig()V	1792	0
org.apache.ibatis.submitted.xml_external_ref.ResultMapReferenceTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	819	0
org.apache.ibatis.submitted.xml_external_ref.ResultMapExtendsTest::testExternalExtendsXmlConfig()V	2017	0
org.apache.ibatis.submitted.xml_external_ref.ResultMapExtendsTest::testExternalExtendsJavaConfig()V	1792	0
org.apache.ibatis.submitted.xml_external_ref.ResultMapExtendsTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	819	0
org.apache.ibatis.submitted.xml_external_ref.ReverseIncludeTest::testReverseIncludeXmlConfig()V	2021	0
org.apache.ibatis.submitted.xml_external_ref.ReverseIncludeTest::testReverseIncludeJavaConfig()V	1796	0
org.apache.ibatis.submitted.xml_external_ref.ReverseIncludeTest::testReverseIncludes(Lorg/apache/ibatis/session/SqlSessionFactory;)V	823	0
org.apache.ibatis.submitted.xml_external_ref.ParameterMapReferenceTest::testCrossReferenceXmlConfig()V	2019	0
org.apache.ibatis.submitted.xml_external_ref.ParameterMapReferenceTest::testCrossReferenceJavaConfig()V	1794	0
org.apache.ibatis.submitted.xml_external_ref.ParameterMapReferenceTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	821	0
org.apache.ibatis.submitted.xml_external_ref.MultipleCrossIncludeTest::testMultipleCrossIncludeXmlConfig()V	2024	0
org.apache.ibatis.submitted.xml_external_ref.MultipleCrossIncludeTest::testMultipleCrossIncludeJavaConfig()V	1799	0
org.apache.ibatis.submitted.xml_external_ref.MultipleCrossIncludeTest::testMappedStatementCache()V	2018	5
org.apache.ibatis.submitted.xml_external_ref.MultipleCrossIncludeTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	826	2
org.apache.ibatis.submitted.xml_external_ref.MultipleIncludeTest::testMultipleIncludeXmlConfig()V	2021	0
org.apache.ibatis.submitted.xml_external_ref.MultipleIncludeTest::testMultipleIncludeJavaConfig()V	1796	0
org.apache.ibatis.submitted.xml_external_ref.MultipleIncludeTest::testMultipleIncludes(Lorg/apache/ibatis/session/SqlSessionFactory;)V	823	0
org.apache.ibatis.submitted.xml_external_ref.NonFullyQualifiedNamespaceTest::testCrossReferenceXmlConfig()V	2025	10
