Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicate2Ex3()V	6	1
org.apache.commons.collections4.PredicateUtilsTest::testNullIsExceptionPredicate()V	38	2
org.apache.commons.collections4.PredicateUtilsTest::testNullIsExceptionPredicateEx1()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testNullIsTruePredicate()V	39	3
org.apache.commons.collections4.PredicateUtilsTest::testNullIsTruePredicateEx1()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testNullIsFalsePredicate()V	39	3
org.apache.commons.collections4.PredicateUtilsTest::testNullIsFalsePredicateEx1()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testTransformedPredicate()V	47	3
org.apache.commons.collections4.PredicateUtilsTest::testSingletonPatternInSerialization()V	25	1
org.apache.commons.collections4.QueueUtilsTest::testSynchronizedQueue()V	5	0
org.apache.commons.collections4.QueueUtilsTest::testUnmodifiableQueue()V	31	0
org.apache.commons.collections4.QueueUtilsTest::testPredicatedQueue()V	5	0
org.apache.commons.collections4.QueueUtilsTest::testTransformedQueue()V	5	0
org.apache.commons.collections4.QueueUtilsTest::testEmptyQueue()V	6	0
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMap()V	106	49
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapRemoval()V	73	14
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapSizes()V	63	0
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapSizes2()V	64	2
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClear()V	11	0
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearNothing()V	8	0
org.apache.commons.collections4.trie.PatriciaTrieTest::testPrefixMapClearUsingRemove()V	13	2
org.apache.commons.collections4.trie.UnmodifiableTrieTest::testUnmodifiable()V	4	0
org.apache.commons.collections4.trie.UnmodifiableTrieTest::testDecorateFactory()V	3	0
org.apache.commons.collections4.MapUtilsTest::testPredicatedMap()V	6	0
org.apache.commons.collections4.MapUtilsTest::testLazyMapFactory()V	13	0
org.apache.commons.collections4.MapUtilsTest::testLazyMapTransformer()V	45	0
org.apache.commons.collections4.MapUtilsTest::testInvertMap()V	48	0
org.apache.commons.collections4.MapUtilsTest::testPutAll_Map_array()V	51	0
org.apache.commons.collections4.MapUtilsTest::testConvertResourceBundle()V	27	0
org.apache.commons.collections4.MapUtilsTest::testDebugAndVerbosePrintCasting()V	434	0
org.apache.commons.collections4.MapUtilsTest::testDebugAndVerbosePrintNullMap()V	442	0
org.apache.commons.collections4.MapUtilsTest::testVerbosePrintNullLabel()V	442	0
